folioviv,combustible2,estufa3,electricidad,refri,radio_tv,telefono4
101608503,0,0,0,0,0,0
101608504,0,0,0,0,0,0
101608505,0,0,0,0,0,0
101608506,0,0,0,1,0,0
101609601,0,0,0,0,0,0
101609602,0,0,0,0,0,0
101609604,0,0,0,0,0,0
101609605,0,0,0,0,0,0
101609606,0,0,0,0,0,0
101618001,0,0,0,0,0,0
101618003,0,0,0,0,0,0
101618004,0,0,0,0,0,0
101618005,0,0,0,1,0,0
101618006,0,0,0,0,0,0
101620201,0,0,0,0,0,0
101620202,0,0,0,0,0,0
101620203,0,0,0,0,0,0
101620205,0,0,0,0,0,0
101620206,0,0,0,0,0,0
101623302,0,0,0,0,0,0
101623303,0,0,0,0,0,0
101623304,0,0,0,0,0,0
101626801,0,0,0,0,0,0
101626802,0,0,0,0,0,0
101626803,0,0,0,0,0,0
101626804,0,0,0,0,0,0
101626805,0,0,0,0,0,0
101626806,0,0,0,0,0,0
101636401,0,0,0,0,0,0
101636402,0,0,0,0,0,0
101636403,0,0,0,0,0,0
101636404,0,0,0,0,0,0
101636405,0,0,0,0,0,0
101636406,0,0,0,0,0,0
101646701,0,0,0,0,0,0
101646702,0,0,0,0,0,0
101646703,0,0,0,0,0,0
101646704,0,0,0,0,0,0
101646706,0,0,0,0,0,0
101660901,0,0,0,0,0,0
101660902,0,0,0,0,0,0
101660903,0,0,0,0,0,0
101660904,0,0,0,0,0,0
101660905,0,0,0,0,0,0
101660906,0,0,0,0,0,0
101676501,0,0,0,0,0,0
101676502,0,0,0,0,0,0
101676503,0,0,0,0,0,0
101676505,0,0,0,0,0,0
101676506,0,0,0,0,0,0
101683601,0,0,0,0,0,0
101683602,0,0,0,0,0,1
101683603,0,0,0,0,0,0
101683606,0,0,0,0,0,0
101696001,0,0,0,0,0,0
101696002,0,0,0,0,0,0
101696003,0,0,0,0,0,0
101696005,0,0,0,0,0,0
101696006,0,0,0,0,0,0
101702202,0,0,0,0,0,0
101702203,0,0,0,0,0,0
101702204,0,0,0,0,0,0
101702205,0,0,0,0,0,0
101707301,0,0,0,0,0,0
101707302,0,0,0,0,0,0
101707303,0,0,0,0,0,0
101707306,0,0,0,0,0,0
101713802,0,0,0,0,0,0
101713804,0,0,0,0,0,0
101713805,0,0,0,0,0,0
101713806,0,0,0,0,0,0
101727403,0,0,0,0,0,0
101727404,0,0,0,0,0,0
101727405,0,0,0,0,0,0
101727406,0,0,0,0,0,0
101729703,0,0,0,0,0,0
101729704,0,0,0,0,0,0
101729705,0,0,0,0,0,0
101729706,0,0,0,0,0,0
101737901,0,0,0,0,0,0
101737903,0,0,0,0,0,0
101737904,0,0,0,0,0,0
101737905,0,0,0,0,0,0
101742501,0,0,0,0,0,0
